GeoAreaName;GeoAreaCode;Type of product;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Afghanistan;0;ALP;24446394;23474504;30130456;32158383;30048952;35642293;33590379;36307279;34944794;43551077;46896904;46569797;48854266;51116034;51322958;50376526;52731883;47529146;48353529;53678005;55939985;48547080;49157250
Afghanistan;0;BIM;23350343;22428029;28825012;30609332;28673409;33915816;31793811;34716832;31654387;39213927;39000401;36653143;39952779;40322750;42311145;40423146;41655757;40992559;38552083;43433438;45294467;39730808;40083922
Afghanistan;0;COL;1000;26000;21000;35001;34001;33001;35001;243004;347006;492008;705012;1434023;1037019;1116021;1265424;940021;965027;1177034;1328038;1367533;1810343;-247523;-246356
Afghanistan;0;CPR;3566801;3897340;6577927;7476703;6481844;9210908;8035055;9812336;6983237;10876174;9928791;7950473;10611612;10898035;11260484;9864926;9492275;8338124;7199843;9862980;10596750;8356212;8421141
Afghanistan;0;CRO;5475248;5992753;7426054;7957000;6899454;9517712;8886715;9984497;8644154;11682588;10454264;9662030;10967511;11345296;12738571;12089859;13809768;14640000;12984007;15212500;16455449;13171397;13361075
Afghanistan;0;FEO;0;0;0;0;0;0;0;0;32677;19761;62768;95780;0;0;0;34564;42044;0;395275;398007;389720;397734;411063
Afghanistan;0;FOF;82900;102500;221178;204975;117575;161799;183097;399080;522870;698746;1009750;1802099;1434393;1519538;1670091;1352809;1391230;1606075;1823043;1778929;2123874;71442;76263
Afghanistan;0;GAS;81900;76500;200178;169974;83574;120798;120096;113076;108864;99738;99738;113076;112374;108517;99667;102688;116103;109641;107604;90396;56331;55965;55617
Afghanistan;0;GBO;12461200;10668900;12901100;13213600;13283700;13150200;12734100;12746000;13884900;14413500;16346461;16722492;16082381;15792643;16030088;16116749;15997743;15621922;16015302;16037791;15840994;15825850;15912648
Afghanistan;0;MEO;222275;248368;261630;286547;312107;338136;7273;6491;115338;26215;68384;101372;4678;22993;36317;41252;49124;4500;397558;401112;392652;400451;413706
Afghanistan;0;NFO;222275;248368;261630;286547;312107;338136;7273;6491;82661;6454;5616;5592;4678;22993;36317;6688;7081;4500;2283;3105;2932;2717;2643
Afghanistan;0;NMA;23300;20500;27500;28300;31000;33300;171500;176000;164795;181976;190682;152769;145303;40992;91765;125870;149002;80117;61909;128701;128599;132577;137394
Afghanistan;0;NMC;480664;365832;468398;531965;551965;538398;700664;263398;324101;848067;2923975;2820439;2943811;4359755;2853899;3600312;5320318;1922700;4540443;4822102;4808851;4983528;5176964
Afghanistan;0;NMM;503964;386332;495898;560265;582965;571698;872164;439398;488896;1030042;3114658;2973207;3089114;4400747;2945664;3726181;5469320;2002817;4602352;4950804;4937450;5116105;5314357
Afghanistan;0;PET;0;0;0;0;0;8000;28000;43000;67000;107000;205000;255000;285000;295000;305000;310100;310100;319400;387400;321000;257200;263000;267002
Afghanistan;0;WCH;1000;800;900;900;1000;1000;1000;1000;1000;1000;1009;1150;1300;1450;1600;1750;1900;7137;6395;5331;2931;3033;3119
Afghanistan;0;WOD;1846094;1868237;1919031;1961129;2007412;2035995;2136941;2172999;2141096;2240665;2269877;2316999;2289975;2285325;2280402;2349863;2354071;2385376;2346537;2314836;2398343;2374316;2385938
Africa;2;ALP;3817242465;3944356561;4151301213;4308819942;4349442936;4547801734;4771705138;4839990657;5113634324;5084797647;5318440927;5328976390;5767833462;5878641290;5972836065;6042221408;6165925551;6378573314;6836198597;6821215403;6933567998;7120336667;7324854206
Africa;2;BIM;2138060976;2187994174;2241645838;2335641240;2376758950;2488119131;2557041510;2574303013;2684540190;2710855100;2853379691;2870995134;2993258906;3061128027;3179183786;3197339106;3265924278;3380301582;3469342512;3485866609;3588234496;3606433783;3648577835
Africa;2;COL;168774459;169944268;167125761;182197485;190756637;190014885;193023996;197579406;210643589;196545549;198436480;195340091;198538987;197144628;204468091;197858862;190897793;185578444;189382803;206985842;190877852;193958998;192398467
Africa;2;CPR;488973813;500158643;508651776;552610568;554300033;594525214;613855436;590147836;637195743;633269336;690459806;677027808;714690839;730776977;779190463;763863693;781829708;842065005;866262404;850664883;885466770;895012948;912416758
Africa;2;CRO;556475574;571277980;594482525;620161860;635375145;671613107;698540879;686451589;716477662;728285764;786502977;796628399;835635033;863687447;907764720;912262193;933211349;972557894;1004442392;1000321432;1026877432;1035864419;1056580846
Africa;2;FEO;20889060;18704368;17516975;19172259;23068285;19110430;39386296;13602747;37376342;39827310;32459314;36953748;34823113;38668931;58665908;39535815;36180167;34696992;40700009;32485901;16833477;17394238;18854903
Africa;2;FOF;349817651;355214859;351777041;372850929;380886822;392246098;394270686;399687589;419678548;401024780;406495481;410165092;403300375;402348124;423730570;404247314;407051746;408266998;416684266;442824189;473449232;482971713;486071271
Africa;2;GAS;42827186;44905308;50119756;54378040;56893615;68284301;66768975;71585226;72638133;71152930;74827201;81824601;86281759;87028764;90741522;93287964;99219249;104813399;105899195;113424498;111896863;114450661;116111337
Africa;2;GBO;689956539;706087592;725361591;741612458;757635305;782454169;795392858;843738438;869012826;882249012;903153105;918876690;959659314;976856620;995360288;1020590589;1046754161;1056678220;1082531974;1113452660;1150856010;1145596485;1163552360
Africa;2;MEO;470255636;486626171;501248776;502204139;491098345;500773329;535156540;518045028;534509134;539719856;585179870;617549865;623758294;672445211;677634572;693216438;730448148;802224369;825231235;795571390;822927145;860251832;902729397
Africa;2;NFO;449366576;467921803;483731800;483031879;468030061;481662899;495770244;504442281;497132792;499892546;552720556;580596117;588935181;633776280;618968664;653680623;694267981;767527377;784531225;763085489;806093668;842857594;883874494
Africa;2;NMA;158828182;174305336;198647144;209351633;213418223;236850062;252626077;255194573;244222664;182926688;187646489;185141918;196674253;192859909;190605163;181836840;112280914;59445409;256478761;225681450;178900299;189314602;195842651
Africa;2;NMC;700280020;740216020;857982413;888772000;887280595;929813114;1032610324;1092760455;1230683788;1250271223;1285739396;1245124382;1550841634;1549860019;1501681974;1565581710;1650220465;1728334957;1868461823;1871271765;1870056826;1981364738;2091633051
Africa;2;NMM;859108203;914521356;1056629557;1098123633;1100698818;1166663176;1285236402;1347955028;1474906452;1433197911;1473385885;1430266299;1747515887;1742719928;1692287137;1747418550;1762501379;1787780365;2124940584;2096953215;2048957125;2170679340;2287475703
Africa;2;PET;138216006;140365284;134531525;136275404;133236570;133946912;134477716;130522957;136396826;133326300;133231800;133000400;118479628;118174733;128520957;113100488;116934703;117875154;121402268;122413849;170674516;174562054;177561468
Africa;2;WCH;6068971;6627420;6427909;6855879;7436363;7573616;7553562;7605627;7747665;8082808;8555966;9152146;8977618;8789772;9851578;9258182;9444630;9952654;10054169;9938856;10050694;10437869;10675645
Africa;2;WOD;396586081;403842539;406722037;414400475;422012104;431953025;441698775;446359525;454106294;458968180;464707837;469310091;474296103;481017211;487016737;491364449;494684431;499047808;506051573;511488778;514983590;519522063;505352226
Albania;0;ALP;;;;;;;;;;;20439561;20767933;20957053;23057114;22682031;26127297;28576732;21749602;22935721;22427328;19283986;20215884;
Albania;0;BIM;;;;;;;;;;;8495137;8484153;8645252;8784966;8878095;8870563;9104830;9173472;9062377;8802544;8428980;8485116;
Albania;0;COL;;;;;;;;;;;;;99291;;4708;;61542;4607;;195990;244514;385375;
Albania;0;CPR;;;;;;;;;;;628897;;629994;;;637029;640112;662018;648343;640550;655602;664937;
Albania;0;CRO;;;;;;;;;;;2841915;2903308;2976115;2987439;3057403;3072813;;;3280611;3309682;3383534;3397149;
Albania;0;FEO;;;;;;;;;;;241602;97007;39218;144670;320449;737016;404430;627330;377252;372437;497827;455723;
Albania;0;FOF;;;;;;;;;;;1115124;1114048;941098;1087293;1161436;1158586;1055078;1405294;1736943;1424566;1373592;1713167;
Albania;0;GAS;;;;;;;;;;;86768;88149;85746;87091;103354;112653;175832;;157727;200681;147445;206048;
Albania;0;GBO;;;;;;;;;;;3775848;;3813552;;;3940486;;;3731458;3411543;3001840;2842943;
Albania;0;MEO;;;;;;;;;;;452488;591389;610677;381433;694067;1000460;690310;924129;1508339;1824862;1348532;1674777;
Albania;0;NFO;;;;;;;;;;;19074;281207;373429;41109;173948;-71896;70769;65748;883849;1228212;632109;948350;
Albania;0;NMA;;;;;;;;;;;93535;93377;-21365;;-9552;113904;126107;-24503;-42332;131708;126114;128187;
Albania;0;NMC;;;;;;;;;;;9685038;6375749;10973684;13156844;7390621;8916629;17896445;10454821;1826664;10686538;8509528;8581453;
Albania;0;NMM;;;;;;;;;;;10193263;10401110;10596748;12626533;11780475;14958763;17566501;10089209;10505517;10260521;8065261;8242486;
Albania;0;ONT;;;;;;;;;;;;;-303;169478;;;;125568;;126724;182525;251333;
Albania;0;PET;;;;;;;;;;;956681;937134;737224;727722;854240;740602;865958;948119;872375;982106;837987;910626;
Albania;0;WCH;;;;;;;;;;;10338;11742;9526;13426;13540;14819;14385;17194;17208;16635;17324;23321;
Albania;0;WOD;;;;;;;;;;;914798;872850;907217;946482;953533;873510;976379;1057212;973944;999356;972799;1128395;
Algeria;0;ALP;141437464;143103415;162122850;182590449;183156159;205324203;221189478;235148400;284721162;298561193;286917208;284220575;296813018;290897583;303097848;345129028;341138775;349728027;371463909;353602030;352297200;361294953;370981825
Algeria;0;BIM;35302356;38789180;40201899;45669740;47791602;48306989;49253417;47514131;46255107;57055821;57356858;64456045;66668023;70618824;70688791;74303167;73552225;72790739;80543959;80446906;78484244;72742289;73736134
Algeria;0;COL;593000;547000;733000;604000;910000;689000;992000;826000;825000;166000;0;0;0;0;20000;0;0;0;12000;8000;8113;8276;8241
